coin_id,symbol,market_cap_at_rebalance,rank,weight,rebalance_timestamp
bitcoin,btc,1758359216072,1,0.3,2025-12-23 18:46:23.699291+00:00
ethereum,eth,355711931545,2,0.22,2025-12-23 18:46:23.699291+00:00
binancecoin,bnb,116418726780,3,0.06,2025-12-23 18:46:23.699291+00:00
ripple,xrp,113944562061,4,0.06,2025-12-23 18:46:23.699291+00:00
solana,sol,69544106016,5,0.06,2025-12-23 18:46:23.699291+00:00
tron,trx,26796208633,6,0.06,2025-12-23 18:46:23.699291+00:00
dogecoin,doge,21821629024,7,0.06,2025-12-23 18:46:23.699291+00:00
figure-heloc,figr_heloc,14808844443,8,0.06,2025-12-23 18:46:23.699291+00:00
cardano,ada,13327311625,9,0.06,2025-12-23 18:46:23.699291+00:00
whitebit,wbt,12197053599,10,0.06,2025-12-23 18:46:23.699291+00:00
